,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
975,2019-10-24,8893.757892707883,8893.757892707883,7666.65249660054,10139.447350221606,9391.799805,0,0.0
976,2019-10-25,8888.016669428065,8888.016669428065,7671.715733560288,10047.02230759535,9430.200195,0,0.0
977,2019-10-28,8870.792999588613,8870.792999588613,7705.661990083815,10177.154177143759,9433.0,0,0.0
978,2019-10-29,8865.051776308797,8865.051776308797,7639.569401090867,10017.499663490953,9400.099609,0,0.0
979,2019-10-30,8859.310553028981,8859.310553028981,7579.808656205867,9970.80046714829,9284.5,0,0.0
980,2019-10-31,8853.569329749163,8853.569329749163,7745.694490955339,10024.781300085375,9257.5,0,0.0
981,2019-11-01,8847.828106469347,8847.828106469347,7713.133481517921,9983.052382978227,9328.0,0,0.0
982,2019-11-04,8830.604436629896,8830.604436629896,7713.721709167246,9975.712781125805,9416.400391,0,0.0
983,2019-11-05,8824.863213350078,8824.863213350078,7694.69169329104,10018.688782954543,9407.900391,0,0.0
984,2019-11-06,8819.121990070262,8819.121990070262,7529.088190598885,9833.6834603343,9398.400391,0,0.0
985,2019-11-07,8813.380766790444,8813.380766790444,7578.552244431712,10006.877202837888,9447.299805,0,0.0
986,2019-11-08,8807.639543510628,8807.639543510628,7627.211416770963,9914.963760673345,9393.700195,0,0.0
987,2019-11-11,8790.415873671176,8790.415873671176,7594.372828063928,9967.732493322203,9388.5,0,0.0
988,2019-11-12,8784.67465039136,8784.67465039136,7642.785381647435,9866.76476310215,9306.700195,0,0.0
989,2019-11-13,8778.933427111542,8778.933427111542,7630.5490716976965,9991.935751724852,9194.5,0,0.0
990,2019-11-14,8773.192203831724,8773.192203831724,7659.399614394656,9934.502827605045,9173.299805,0,0.0
991,2019-11-15,8767.450980551908,8767.450980551908,7663.973239999836,9978.28159757175,9261.400391,0,0.0
992,2019-11-18,8750.227310712458,8750.227310712458,7530.00148581258,9867.694443776412,9258.0,0,0.0
993,2019-11-19,8744.48608743264,8744.48608743264,7534.553132400645,10009.853930799442,9259.200195,0,0.0
994,2019-11-20,8738.744864152823,8738.744864152823,7635.004473004262,9937.972941652175,9225.400391,0,0.0
995,2019-11-21,8733.003640873007,8733.003640873007,7427.266747883579,9934.066165982706,9214.0,0,0.0
996,2019-11-22,8727.26241759319,8727.26241759319,7583.7520342985545,9958.667390899305,9254.700195,0,0.0
997,2019-11-25,8710.038747753737,8710.038747753737,7660.65503084707,9761.719639989342,9319.900391,0,0.0
998,2019-11-26,8704.297524473921,8704.297524473921,7466.736414137232,9788.559816857225,9324.799805,0,0.0
999,2019-11-27,8698.556301194105,8698.556301194105,7543.142241559427,9883.46344125547,9362.700195,0,0.0
1000,2019-11-28,8692.815077914287,8692.815077914287,7656.627935574009,9869.404382103947,9359.0,0,0.0
1001,2019-11-29,8687.07385463447,8687.07385463447,7575.975778775917,9888.548393376439,9352.0,0,0.0
1002,2019-12-02,8669.85018479502,8669.85018479502,7470.337893571184,9805.97874186942,9156.299805,0,0.0
1003,2019-12-03,8664.108961515201,8664.108961515201,7377.6731353333835,9757.649965385022,9135.700195,0,0.0
1004,2019-12-04,8658.367738235384,8658.367738235384,7477.258641717746,9899.196643021216,9270.799805,0,0.0
1005,2019-12-05,8652.626514955567,8652.626514955567,7513.034337594528,9723.0256279913,9243.400391,0,0.0
1006,2019-12-06,8646.885291675751,8646.885291675751,7534.59803961229,9801.473302260561,9382.700195,0,0.0
1007,2019-12-09,8629.6616218363,8629.6616218363,7531.248612414649,9784.363126997176,9354.599609,0,0.0
1008,2019-12-10,8623.920398556482,8623.920398556482,7400.988158939067,9928.25182815039,9321.099609,0,0.0
1009,2019-12-11,8618.179175276666,8618.179175276666,7480.941183417875,9714.82891322394,9392.5,0,0.0
1010,2019-12-12,8612.43795199685,8612.43795199685,7411.394834552787,9636.347342443447,9468.5,0,0.0
1011,2019-12-13,8606.69672871703,8606.69672871703,7408.960936111178,9832.82842310221,9563.700195,0,0.0
1012,2019-12-16,8589.47305887758,8589.47305887758,7433.036280540973,9709.053232568056,9680.599609,0,0.0
1013,2019-12-17,8583.731835597764,8583.731835597764,7483.839859540513,9926.229377952359,9615.900391,0,0.0
1014,2019-12-18,8577.990612317946,8577.990612317946,7361.211206879876,9708.54732544701,9621.799805,0,0.0
1015,2019-12-19,8572.249389038128,8572.249389038128,7351.3961261995755,9727.05500922453,9617.200195,0,0.0
1016,2019-12-20,8566.508165758312,8566.508165758312,7383.120767380449,9881.480964280685,9675.5,0,0.0
1017,2019-12-23,8549.28449591886,8549.28449591886,7393.449894850659,9670.304237184677,9659.599609,0,0.0
1018,2019-12-24,8543.543272639045,8543.543272639045,7312.49866971529,9665.543644976833,9661.799805,0,0.0
1019,2019-12-25,8537.802049359228,8537.802049359228,7474.004853018154,9721.304079343206,,0,0.0
1020,2019-12-27,8526.319602799593,8526.319602799593,7326.418801352771,9627.035677562879,9700.5,1,0.007573251114594212
1021,2019-12-30,8509.095932960143,8509.095932960143,7385.7500482795695,9626.803114267224,9612.599609,0,0.0
1022,2019-12-31,8503.354709680327,8503.354709680327,7279.896653273832,9687.47990269471,9549.200195,0,0.0
1023,2020-01-02,8491.872263120691,8491.872263120691,7327.559319979522,9738.437461479294,9691.200195,0,0.0
1024,2020-01-03,8486.131039840875,8486.131039840875,7335.989208840565,9694.909327174151,9646.599609,0,0.0
1025,2020-01-06,8468.907370001423,8468.907370001423,7288.339112580672,9705.432315682112,9600.900391,0,0.0
1026,2020-01-07,8463.166146721605,8463.166146721605,7273.985786865151,9780.783862966511,9579.799805,0,0.0
1027,2020-01-08,8457.42492344179,8457.42492344179,7285.743377158184,9658.242745693882,9591.400391,0,0.0
1028,2020-01-09,8451.683700161973,8451.683700161973,7375.542118095259,9619.696923064861,9581.799805,0,0.0
1029,2020-01-10,8445.942476882155,8445.942476882155,7179.325305277967,9557.380645556952,9573.599609,1,0.0016941342969682552
1030,2020-01-13,8428.718807042704,8428.718807042704,7262.137707851789,9743.424989728766,9543.900391,0,0.0
1031,2020-01-14,8422.977583762888,8422.977583762888,7267.820964919641,9627.693388291304,9528.299805,0,0.0
1032,2020-01-15,8417.23636048307,8417.23636048307,7268.550248420653,9477.267771023135,9511.700195,1,0.0036200072827111233
1033,2020-01-16,8411.495137203252,8411.495137203252,7227.845592960053,9495.876539441224,9572.5,1,0.008004540147169085
1034,2020-01-17,8405.753913923436,8405.753913923436,7301.586595516022,9598.060758458556,9681.299805,1,0.008597920549723604
1035,2020-01-20,8388.530244083986,8388.530244083986,7187.814106762736,9554.240563303958,9658.799805,1,0.010825283037952207
1036,2020-01-21,8382.789020804168,8382.789020804168,7091.350056016572,9534.485792285735,9611.299805,1,0.007992052508267908
1037,2020-01-22,8377.04779752435,8377.04779752435,7253.576461969046,9508.473940997235,9573.700195,1,0.006813066283068843
1038,2020-01-23,8371.306574244534,8371.306574244534,7227.929412396158,9460.798854221104,9518.5,1,0.006061999871712539
1039,2020-01-24,8365.565350964716,8365.565350964716,7014.590723348203,9544.777213092182,9562.0,1,0.0018011699338859927
1040,2020-01-27,8348.341681125266,8348.341681125266,7152.669157094376,9652.15535069431,9366.299805,0,0.0
1041,2020-01-28,8342.600457845449,8342.600457845449,7060.936757880994,9538.025427786686,9484.200195,0,0.0
1042,2020-01-29,8336.859234565633,8336.859234565633,7241.143900817683,9513.933889819711,9546.700195,1,0.0034322126505501233
1043,2020-01-30,8331.118011285815,8331.118011285815,7070.192686772319,9561.633978350557,9477.900391,0,0.0
1044,2020-01-31,8325.376788005997,8325.376788005997,7219.760325535191,9381.784309137802,9367.900391,0,0.0
1045,2020-02-03,8308.153118166547,8308.153118166547,7091.84780475918,9518.61815753217,9404.700195,0,0.0
1046,2020-02-04,8302.411894886729,8302.411894886729,7039.586406169446,9518.73724618789,9562.900391,1,0.004618174717544201
1047,2020-02-05,8296.670671606913,8296.670671606913,7247.519098423081,9650.711809487975,9717.799805,1,0.006903619837641363
1048,2020-02-06,8290.929448327097,8290.929448327097,7040.937077075624,9504.757822314616,9811.299805,1,0.03124376879495274
1049,2020-02-07,8285.188225047279,8285.188225047279,7164.676636710573,9508.423011544923,9811.0,1,0.03084058591938409
1050,2020-02-10,8267.964555207827,8267.964555207827,7030.642327096105,9661.634234387842,9816.0,1,0.015725933742069854
1051,2020-02-11,8262.22333192801,8262.22333192801,7083.348833292776,9376.33736417533,9882.599609,1,0.051227638966939666
1052,2020-02-12,8256.482108648193,8256.482108648193,7072.468903970268,9404.97684765412,9940.400391,1,0.05386337796117853
1053,2020-02-13,8250.740885368376,8250.740885368376,7090.114737500017,9330.798734846794,9909.799805,1,0.05842712078412228
1054,2020-02-14,8244.99966208856,8244.99966208856,7176.064521436941,9372.003998216816,9956.799805,1,0.05873330972161533
1055,2020-02-17,8227.775992249108,8227.775992249108,6988.470811128898,9424.776633964404,10022.200195,1,0.05961002069522075
1056,2020-02-18,8222.034768969292,8222.034768969292,7052.070894253279,9565.877767588845,10005.799805,1,0.043966703910198364
1057,2020-02-19,8216.293545689474,8216.293545689474,6974.366176375715,9338.931744378995,10083.599609,1,0.07384940829625573
1058,2020-02-20,8210.552322409658,8210.552322409658,6965.726119561922,9343.943950929634,9931.0,1,0.059113487974057646
1059,2020-02-21,8204.81109912984,8204.81109912984,6907.416237109894,9567.097083295861,9886.200195,1,0.032277629970059334
1060,2020-02-24,8187.587429290389,8187.587429290389,6956.706922467257,9266.158747305955,9483.5,1,0.022917831253655787
1061,2020-02-25,8181.846206010572,8181.846206010572,6977.694679868245,9420.428242948612,9250.799805,0,0.0
1062,2020-02-26,8176.104982730756,8176.104982730756,7154.742407918269,9556.880410662377,9316.799805,0,0.0
1063,2020-02-27,8170.363759450938,8170.363759450938,7008.455391589264,9364.132687394453,8985.900391,0,0.0
1064,2020-02-28,8164.622536171121,8164.622536171121,7002.058470597537,9385.489783629395,8723.200195,0,0.0
1065,2020-03-02,8147.3988663316695,8147.3988663316695,7011.260614300302,9278.542318285326,8741.5,0,0.0
1066,2020-03-03,8141.657643051853,8141.657643051853,6968.338262668074,9397.50525633916,8811.599609,0,0.0
1067,2020-03-04,8135.916419772036,8135.916419772036,6973.999156858772,9297.304912279113,8910.0,0,0.0
1068,2020-03-05,8130.175196492219,8130.175196492219,6851.0400456865555,9401.93464024136,8683.0,0,0.0
1069,2020-03-06,8124.433973212403,8124.433973212403,7007.29148572287,9234.397521963583,8375.599609,0,0.0
1070,2020-03-09,8107.210303372952,8107.210303372952,6815.469425538533,9348.107525657775,7708.700195,0,0.0
1071,2020-03-10,8101.469080093134,8101.469080093134,6914.669664551725,9393.700211378316,7461.5,0,0.0
1072,2020-03-11,8095.727856813317,8095.727856813317,6907.0975807818,9301.158264177251,7436.399901999999,0,0.0
1073,2020-03-12,8089.986633533499,8089.986633533499,6931.453901061847,9268.414294662542,6390.899902,-1,0.08458182843588014
1074,2020-03-13,8084.245410253682,8084.245410253682,6795.165400520778,9235.684491401116,6629.600098,-1,0.024973648496645486
