Dates;PX_LAST;LAST_PRICE;PX_VOLUME
05/23/2012;;20536.83;12122657
05/24/2012;;20637.22;7826288
05/25/2012;;20744.49;6014529
05/28/2012;;20849.26;96469444
05/29/2012;;21026.33;4503646
05/30/2012;;20875.09;4039133
05/31/2012;;20997.56;35411021
06/01/2012;;20700.68;7392720
06/04/2012;;20575.03;6928474
06/05/2012;;20655.57;10116847
06/06/2012;;21018.91;9997206
06/07/2012;;21020.17;15800700
06/08/2012;;20957.55;10280656
06/11/2012;;20905.8;6005396
06/12/2012;;20887.63;12236868
06/13/2012;;20812.6;11351648
06/14/2012;;20702.9;6353415
06/15/2012;;20634.18;5846866
06/18/2012;;20714.6;5564863
06/19/2012;;20776.54;11475559
06/20/2012;;20712.41;5248670
06/21/2012;;20434.58;3769887
06/22/2012;;20509.26;4587445
06/25/2012;;20426.87;3921923
06/26/2012;;20372.07;4040057
06/27/2012;;20334.85;3160839
06/28/2012;;20207.16;11192068
06/29/2012;;20207.16;11192068
07/02/2012;;20645.1;7690051
07/03/2012;;20776.82;6451879
07/04/2012;;20718.49;7517979
07/05/2012;;20661.89;14971703
07/06/2012;;20602.68;10818738
07/09/2012;;20434.36;11287320
07/10/2012;;20224.52;22223151
07/11/2012;;20089.31;7589237
07/12/2012;;19954.85;8770129
07/13/2012;;20107.13;2819357
07/16/2012;;20067.35;4816979
07/17/2012;;20033.85;2692993
07/18/2012;;20088.64;7775204
07/19/2012;;20115.5;5259407
07/20/2012;;20023.06;2495297
07/23/2012;;19754.37;4050476
07/24/2012;;19536.55;5004079
07/25/2012;;19544.29;4837835
07/26/2012;;19674.23;5381458
07/27/2012;;19822.53;3238820
07/30/2012;;19692.52;3747089
07/31/2012;;19627.5;10434836
08/01/2012;;19452.8;6060024
08/02/2012;;19282.92;6513656
08/03/2012;;19730.47;10446022
08/06/2012;;19738.5;2659198
08/07/2012;;19754.17;4487649
08/08/2012;;19769.55;7988078
08/09/2012;;19748.2;5497974
08/10/2012;;19806.65;7950191
08/13/2012;;19736.77;8939212
08/14/2012;;19833.06;4875757
08/15/2012;;19844.55;8876983
08/16/2012;;20022.02;11870861
08/17/2012;;20105.31;3353220
08/20/2012;;20107.08;7384663
08/21/2012;;20304.73;10244296
08/22/2012;;20295.43;8752057
08/23/2012;;20177.65;8903664
08/24/2012;;20215.36;8715835
08/27/2012;;20265.77;3091632
08/28/2012;;20230.82;9286771
08/29/2012;;20197.62;8158905
08/30/2012;;20197.62;8158905
08/31/2012;;20311.66;9376145
09/03/2012;;20270.41;2710186
09/04/2012;;19985.31;10556958
09/05/2012;;19977.86;7918950
09/06/2012;;20161.75;13995009
09/07/2012;;20494.04;7947430
09/10/2012;;20536.23;4033030
09/11/2012;;20717.42;9155970
09/12/2012;;20997.78;10395598
09/13/2012;;21435.23;13746851
09/14/2012;;21951.8;22202585
09/17/2012;;21762.3;5317995
09/18/2012;;21610.01;4138275
09/19/2012;;21723.63;6335501
09/20/2012;;21694.87;6076590
09/21/2012;;21884.55;12397211
09/24/2012;;21784.77;4825627
09/25/2012;;21747.83;5738593
09/26/2012;;21583.91;6731949
09/27/2012;;21736.07;8306006
09/28/2012;;21674.79;5529579
10/01/2012;;21674.79;5529579
10/02/2012;;21674.79;5529579
10/03/2012;;21432.79;8043103
10/04/2012;;21680.57;6248035
10/05/2012;;21766.63;8896001
10/08/2012;;21766.63;8896001
10/09/2012;;21508.1;5310483
10/10/2012;;21399.3;6418160
10/11/2012;;21525.1;39039371
10/12/2012;;21410.29;5980919
10/15/2012;;21349.18;2805924
10/16/2012;;21472.51;10194197
10/17/2012;;21529.58;7900599
10/18/2012;;21476.86;10728613
10/19/2012;;21443.3;12360199
10/22/2012;;21402.98;11937545
10/23/2012;;21166.87;10183205
10/24/2012;;21056.94;6930179
